epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,9855.75,0.86351,0.58542,1.22688,0.96407,0.90306,0.95489,0.81215,0.80782,0.43296,1.18704,0.00023765,0.00023765,0.00023765
55,10035.4,0.86051,0.57656,1.2218,0.92637,0.9573,0.96715,0.81436,0.81147,0.42419,1.19072,0.0002327,0.0002327,0.0002327
56,10213.5,0.86168,0.57641,1.22559,0.94361,0.92935,0.96227,0.81266,0.8126,0.42695,1.18774,0.00022775,0.00022775,0.00022775
57,10391.7,0.85098,0.56959,1.21396,0.95699,0.91405,0.95966,0.8119,0.81307,0.43293,1.18811,0.0002228,0.0002228,0.0002228
58,10569.8,0.85591,0.57094,1.22083,0.94682,0.92294,0.95813,0.80838,0.80995,0.43711,1.18606,0.00021785,0.00021785,0.00021785
59,10747.4,0.84556,0.56545,1.21142,0.94466,0.93754,0.96376,0.81382,0.80797,0.42368,1.1896,0.0002129,0.0002129,0.0002129
60,10923.7,0.8484,0.56572,1.21595,0.93983,0.93626,0.96313,0.81496,0.79964,0.42199,1.18116,0.00020795,0.00020795,0.00020795
61,11102,0.84077,0.55974,1.21163,0.93361,0.94969,0.96439,0.81629,0.79954,0.41849,1.17526,0.000203,0.000203,0.000203
62,11281.6,0.84031,0.55903,1.20926,0.94058,0.95159,0.9685,0.82358,0.79804,0.40353,1.16775,0.00019805,0.00019805,0.00019805
63,11463,0.83285,0.55372,1.20741,0.95136,0.92793,0.96069,0.81956,0.80053,0.41575,1.17494,0.0001931,0.0001931,0.0001931
64,11643.6,0.83007,0.55372,1.20848,0.9528,0.92739,0.95919,0.81356,0.80741,0.41668,1.18178,0.00018815,0.00018815,0.00018815
65,11822.7,0.82854,0.54624,1.20112,0.95149,0.92256,0.95657,0.81427,0.80217,0.42112,1.17804,0.0001832,0.0001832,0.0001832
66,12003.2,0.82343,0.53472,1.19535,0.95059,0.9224,0.95385,0.81453,0.79618,0.42353,1.17966,0.00017825,0.00017825,0.00017825
67,12182.5,0.82049,0.54018,1.20049,0.95512,0.91674,0.95816,0.81425,0.79619,0.41896,1.17987,0.0001733,0.0001733,0.0001733
68,12360.2,0.82011,0.5392,1.19553,0.94191,0.93547,0.96381,0.81568,0.7973,0.4181,1.18091,0.00016835,0.00016835,0.00016835
69,12537.6,0.82338,0.53654,1.19326,0.94335,0.93826,0.96486,0.81924,0.79901,0.41802,1.18162,0.0001634,0.0001634,0.0001634
70,12714.5,0.81835,0.53275,1.19591,0.93766,0.94338,0.96579,0.82145,0.79703,0.41738,1.18054,0.00015845,0.00015845,0.00015845
71,12894.8,0.80927,0.52817,1.18754,0.94057,0.94056,0.96399,0.82001,0.79262,0.41153,1.17914,0.0001535,0.0001535,0.0001535
72,13071.6,0.80652,0.52467,1.1853,0.95277,0.92874,0.96432,0.8218,0.78745,0.40696,1.17406,0.00014855,0.00014855,0.00014855
